tier,division,match_id
GRANDMASTERS,GR,NA1_4590109937
GRANDMASTERS,GR,NA1_4590085958
GRANDMASTERS,GR,NA1_4589975416
GRANDMASTERS,GR,NA1_4589746243
GRANDMASTERS,GR,NA1_4589366313
GRANDMASTERS,GR,NA1_4589255952
GRANDMASTERS,GR,NA1_4589189203
GRANDMASTERS,GR,NA1_4589140192
GRANDMASTERS,GR,NA1_4589076910
GRANDMASTERS,GR,NA1_4588996339
GRANDMASTERS,GR,NA1_4588966606
GRANDMASTERS,GR,NA1_4588951318
GRANDMASTERS,GR,NA1_4588889998
GRANDMASTERS,GR,NA1_4588867098
GRANDMASTERS,GR,NA1_4588856819
GRANDMASTERS,GR,NA1_4588820590
GRANDMASTERS,GR,NA1_4588799659
GRANDMASTERS,GR,NA1_4588791394
GRANDMASTERS,GR,NA1_4588778411
GRANDMASTERS,GR,NA1_4588608493
GRANDMASTERS,GR,NA1_4588575257
GRANDMASTERS,GR,NA1_4588558888
GRANDMASTERS,GR,NA1_4588510015
GRANDMASTERS,GR,NA1_4588475251
GRANDMASTERS,GR,NA1_4588447534
GRANDMASTERS,GR,NA1_4588317962
GRANDMASTERS,GR,NA1_4587947998
GRANDMASTERS,GR,NA1_4587918125
GRANDMASTERS,GR,NA1_4587885467
GRANDMASTERS,GR,NA1_4587864557
GRANDMASTERS,GR,NA1_4587850490
GRANDMASTERS,GR,NA1_4587435859
GRANDMASTERS,GR,NA1_4587408852
GRANDMASTERS,GR,NA1_4587355693
GRANDMASTERS,GR,NA1_4587015749
GRANDMASTERS,GR,NA1_4586975226
GRANDMASTERS,GR,NA1_4586546016
GRANDMASTERS,GR,NA1_4586509973
GRANDMASTERS,GR,NA1_4586490687
GRANDMASTERS,GR,NA1_4586380854
GRANDMASTERS,GR,NA1_4586210686
GRANDMASTERS,GR,NA1_4586192033
GRANDMASTERS,GR,NA1_4586159138
GRANDMASTERS,GR,NA1_4586125209
GRANDMASTERS,GR,NA1_4586101526
GRANDMASTERS,GR,NA1_4586084384
GRANDMASTERS,GR,NA1_4586071295
GRANDMASTERS,GR,NA1_4585831888
GRANDMASTERS,GR,NA1_4585653116
GRANDMASTERS,GR,NA1_4585619349
GRANDMASTERS,GR,NA1_4586586931
GRANDMASTERS,GR,NA1_4586146038
GRANDMASTERS,GR,NA1_4586108267
GRANDMASTERS,GR,NA1_4585386741
GRANDMASTERS,GR,NA1_4585204740
GRANDMASTERS,GR,NA1_4585000729
GRANDMASTERS,GR,NA1_4584983883
GRANDMASTERS,GR,NA1_4584938193
GRANDMASTERS,GR,NA1_4577587812
GRANDMASTERS,GR,NA1_4577541666
GRANDMASTERS,GR,NA1_4577452900
GRANDMASTERS,GR,NA1_4577429052
GRANDMASTERS,GR,NA1_4577372042
GRANDMASTERS,GR,NA1_4577361156
GRANDMASTERS,GR,NA1_4576607002
