blue_top_xp,blue_top_total_gold,blue_top_current_gold,blue_top_cs,blue_top_dmg_done,blue_top_dmg_taken,blue_jg_xp,blue_jg_total_gold,blue_jg_current_gold,blue_jg_cs,blue_jg_dmg_done,blue_jg_dmg_taken,blue_mid_xp,blue_mid_total_gold,blue_mid_current_gold,blue_mid_cs,blue_mid_dmg_done,blue_mid_dmg_taken,blue_bot_xp,blue_bot_total_gold,blue_bot_current_gold,blue_bot_cs,blue_bot_dmg_done,blue_bot_dmg_taken,blue_sup_xp,blue_sup_total_gold,blue_sup_current_gold,blue_sup_cs,blue_sup_dmg_done,blue_sup_dmg_taken,red_top_xp,red_top_total_gold,red_top_current_gold,red_top_cs,red_top_dmg_done,red_top_dmg_taken,red_jg_xp,red_jg_total_gold,red_jg_current_gold,red_jg_cs,red_jg_dmg_done,red_jg_dmg_taken,red_mid_xp,red_mid_total_gold,red_mid_current_gold,red_mid_cs,red_mid_dmg_done,red_mid_dmg_taken,red_bot_xp,red_bot_total_gold,red_bot_current_gold,red_bot_cs,red_bot_dmg_done,red_bot_dmg_taken,red_sup_xp,red_sup_total_gold,red_sup_current_gold,red_sup_cs,red_sup_dmg_done,red_sup_dmg_taken
0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0
0,500,0,0,0,0,0,500,50,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0
185,563,63,2,651,205,325,601,151,4,4113,657,185,541,41,1,424,82,168,737,232,5,1306,269,168,954,454,1,781,325,185,563,63,2,758,90,510,686,186,7,4548,769,276,620,120,6,1387,138,37,542,42,1,609,236,37,563,63,0,291,728
554,762,262,6,1759,495,835,954,504,16,12821,1636,924,907,407,13,3079,460,412,965,60,11,4901,269,412,1109,84,2,1466,482,862,920,420,14,4532,386,1011,1062,562,20,14290,1935,833,927,427,14,3429,511,672,997,497,18,3436,337,394,697,147,0,1040,740
1293,1060,560,17,5026,1192,1351,1297,847,26,17430,2729,1477,1123,623,18,5200,981,732,1287,32,20,6417,1225,732,1325,75,4,3680,1556,1262,1148,648,19,6481,848,1431,1974,1474,31,20053,2835,1386,1208,708,24,6440,979,854,1323,123,19,5110,1175,670,1081,531,0,1849,1299
2003,1343,843,24,6037,1508,1435,1434,104,27,17659,2729,2125,1423,488,29,8418,1221,1191,1605,350,29,8958,1225,1068,1567,317,7,4872,1883,1786,1438,38,26,9378,1188,1535,2187,337,35,22060,2841,2125,1514,14,36,10233,1189,1100,1579,329,24,6554,1411,916,1276,176,0,2261,1339
2712,1606,1106,32,7892,1966,1971,1828,498,39,29498,3668,2557,1703,318,36,11212,1225,1429,1861,606,36,10202,1356,1275,1723,473,8,5006,1883,2125,1687,287,33,12615,1798,2125,2599,749,48,32892,3826,2477,1786,281,44,12598,1235,1532,1991,741,38,9420,1458,1348,1430,330,0,2323,1510
3265,1861,161,40,11471,2677,2313,2123,793,43,33652,4288,3110,1990,605,46,15395,1310,1991,2594,1339,51,14267,1404,1762,2033,783,11,7012,2929,2710,2022,622,43,15342,2371,2599,2976,1126,57,40840,4907,3216,2170,665,58,17906,1483,1854,2497,1247,41,10816,2664,1485,1735,630,1,2644,2488
3804,2185,485,48,14458,3166,2673,2365,385,47,37145,5765,3434,2552,367,50,17237,1598,2716,3212,1957,59,18057,2483,2185,2373,323,14,8091,2929,3358,2409,409,55,20062,2441,2654,3148,198,57,42683,4993,3836,2773,83,66,22853,3054,2185,2774,249,48,12717,2674,1664,1939,59,1,2704,2922
4361,2804,1104,53,18947,3550,3254,2906,926,53,45875,6729,3802,2813,193,59,21699,2895,2716,3509,79,59,18477,2536,2247,2529,479,15,8894,3097,3481,2532,182,55,20610,3818,3421,3623,673,69,51399,7038,4238,3013,323,70,25267,3064,2744,3393,868,55,17399,3139,2197,2141,261,3,3950,3745
